Name,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
Raymond Townsend,Warriors,Golden State,Guard,11,6.3,175,1978,1,22,California-Los Angeles,12/20/1955,1978,1981,4.8,1.4,1
George Trapp,Pistons,Detroit,Forward,31,6.8,205,1971,1,5,Long Beach State,7/11/1948,1971,1976,8.8,1,3.9
John Trapp,Rockets,San Diego,Forward,31,6.7,210,1968,2,15,Nevada-Las Vegas,10/2/1945,1968,1972,7.4,1,4.5
Robert Traylor,Cavaliers,Cleveland,Forward-Center,32,6.8,284,1998,1,6,Michigan,2/1/1977,1998,2004,4.8,0.7,3.7
Gary Trent,Timberwolves,Minnesota,Forward,20,6.8,250,1995,1,11,Ohio,9/22/1974,1995,2003,8.6,1,4.5
Gary Trent Jr.,Trail Blazers,Portland,Guard-Forward,2,6.5,209,2018,2,37,Duke,1/18/1999,2018,Present,8.9,1,1.6
Jeff Trepagnier,Nuggets,Denver,Guard,4,6.4,200,2001,2,35,Southern California,7/11/1979,2001,2003,2.8,0.7,1.4
John Tresvant,Bullets,Baltimore,Forward,12,6.7,215,1964,5,40,Seattle,11/6/1939,1964,1972,9.2,1.4,6.3
Allonzo Trier,,,,,,,Undrafted,Undrafted,Undrafted,Arizona,1/17/1996,2018,Present,6.5,1.2,1.2
Dick Triptow,Pistons,Ft. Wayne Zollner,Guard,,6,170,Undrafted,Undrafted,Undrafted,DePaul,11/3/1922,1948,1949,5.7,1.6,
Kelly Tripucka,Pistons,Detroit,Forward,7,6.6,220,1981,1,12,Notre Dame,2/16/1959,1981,1990,17.2,3,3.8
Cezary Trybanski,Grizzlies,Memphis,Center,14,7.2,240,Undrafted,Undrafted,Undrafted,Poland,9/22/1979,2002,2003,0.7,0,0.7
Jake Tsakalidis,Suns,Phoenix,Center,25,7.2,290,2000,1,25,,6/10/1979,2000,2006,4.8,0.3,3.9
John Tschogl,Hawks,Atlanta,Forward,26,6.6,206,Undrafted,Undrafted,Undrafted,California-Santa Barbara,4/25/1950,1972,1974,2.5,0.6,1.8
Lou Tsioropoulos,Celtics,Boston,Forward,20,6.5,190,1953,7,,Kentucky,8/31/1930,1956,1958,5.8,1.1,4.8
Nikoloz Tskitishvili,Nuggets,Denver,Forward,15,7,225,2002,1,5, ,4/14/1983,2002,2005,2.9,0.7,1.8
Al Tucker,SuperSonics,Seattle,Forward,35,6.8,190,1967,1,6,Oklahoma Baptist,2/24/1943,1967,1970,9.5,0.9,5
Alando Tucker,,,,,,,2007,1,29,Wisconsin,2/11/1984,2007,2009,4.1,0.3,1
Anthony Tucker,Bullets,Washington,Forward,21,6.8,220,1996,,,Wake Forest,4/4/1969,1994,1994,3.9,1.1,2.7
Jim Tucker,Nationals,Syracuse,Forward,17,6.7,185,1954,3,24,Duquesne,12/11/1932,1954,1956,4.1,0.5,3.5
P.J. Tucker,Rockets,Houston,Forward,17,6.5,245,2006,2,35,Texas,5/5/1985,2006,Present,6.9,1.6,6.6
Rayjon Tucker,Jazz,Utah,Guard,6,6.3,209,Undrafted,Undrafted,Undrafted,Arkansas-Little Rock,9/24/1997,2019,Present,3.1,0.3,1
Trent Tucker,Knicks,New York,Guard,6,6.5,193,1982,1,6,Minnesota,12/20/1959,1982,1992,8.2,2,2
Ronny Turiaf,,,,,,,2005,2,37,Gonzaga,1/13/1983,2005,2014,4.7,1.3,3.7
Mirsad Turkcan,Bucks,Milwaukee,Forward,6,6.9,216,1998,1,18,,6/7/1976,1999,1999,1.9,0.3,1.9
Hedo Turkoglu,Magic,Orlando,Forward,15,6.1,220,2000,1,16,,3/19/1979,2000,2014,11.1,2.8,4
Andre Turner,Bullets,Washington,Guard,1,5.11,160,1986,3,69,Memphis,12/13/1964,1986,1991,4.5,3.1,1.5
Bill Turner,Warriors,Golden State,Forward,34,6.7,220,1967,3,27,Akron,2/18/1944,1967,1972,5.4,0.6,3.5
Elston Turner,Nuggets,Denver,Guard,21,6.5,190,1981,2,43,Mississippi,6/10/1959,1981,1988,4.7,1.8,2.7
Evan Turner,Timberwolves,Minnesota,Guard-Forward,1,6.6,220,2010,1,2,Ohio State,10/27/1988,2010,Present,3.3,2,2
Henry Turner,Kings,Sacramento,Guard,9,6.7,200,Undrafted,Undrafted,Undrafted,Cal State-Fullerton,8/18/1966,1989,1994,3.4,0.4,1.2
Jack Turner,Knicks,New York,Guard,16,6.4,170,1954,1,8,Western Kentucky,6/29/1930,1954,1954,4.3,1.2,2.4
Jack Turner,Knicks,New York,Guard,16,6.4,170,1954,1,8,Western Kentucky,6/29/1930,1954,1954,4.3,1.2,2.4
Jeff Turner,Magic,Orlando,Forward,31,6.9,230,1984,1,17,Vanderbilt,4/9/1962,1984,1995,6,1,3.3
John Turner,Rockets,Houston,Forward,40,6.8,245,1991,1,20,Phillips,11/30/1967,1991,1991,2.8,0.3,1.9
Myles Turner,Pacers,Indiana,Center-Forward,33,6.1,250,2015,1,11,Texas,3/24/1996,2015,Present,12.1,1.2,6.6
Wayne Turner,,,,,,,Undrafted,Undrafted,Undrafted,Kentucky,3/22/1976,1999,1999,1.3,1.7,1
Mel Turpin,Cavaliers,Cleveland,Center,50,6.1,240,1984,1,6,Kentucky,12/28/1960,1984,1989,8.5,0.5,4.6
Dave Twardzik,Trail Blazers,Portland,Guard,13,6.1,175,1972,2,26,Old Dominion,9/20/1950,1976,1979,9.5,3.4,2.2
Jack Twyman,Royals,Cincinnati,Forward,27,6.6,210,1955,2,8,Cincinnati,5/11/1934,1955,1965,19.2,2.3,6.6
B.J. Tyler,76ers,Philadelphia,Guard,1,6.1,185,1994,1,20,Texas,4/30/1971,1994,1994,3.5,3.2,1.1
Jeremy Tyler,Warriors,Golden State,Forward,4,6.1,250,2011,2,39,,6/21/1991,2011,2013,3.6,0.2,2.6
Terry Tyler,Pistons,Detroit,Forward,41,6.7,215,1978,2,23,Detroit Mercy,10/30/1956,1978,1988,10.2,1.2,5.4
Charlie Tyra,Knicks,New York,Center,14,6.8,230,1957,1,2,Louisville,8/16/1935,1957,1961,8.9,0.9,7.4
Edwin Ubiles,,,,,,,Undrafted,Undrafted,Undrafted,Siena,11/26/1986,2011,2011,3.5,0.3,2.5
Ekpe Udoh,Jazz,Utah,Center-Forward,33,6.1,245,2010,1,6,Baylor,5/20/1987,2010,2018,3.5,0.7,2.9
Ime Udoka,,,,,,,Undrafted,Undrafted,Undrafted,Portland State,8/9/1977,2003,2010,5.2,1,2.9
Beno Udrih,Kings,Sacramento,Guard,19,6.3,205,2004,1,28,,7/5/1982,2004,2016,8.4,3.4,2.1
Roko Ukic,,,,,,,2005,2,41,,12/5/1984,2007,2009,4,1.9,0.9
Tyler Ulis,,,,,,,2016,2,34,Kentucky,1/5/1996,2016,2018,7.5,4,1.7
Wes Unseld,Bullets,Washington,Center,41,6.7,245,1968,1,2,Louisville,3/14/1946,1968,1980,10.8,3.9,14
Hal Uplinger,Bullets,Baltimore,Guard,,6.4,185,Undrafted,Undrafted,Undrafted,Long Island-Brooklyn,9/30/1929,1953,1953,3.7,1.1,1.3
Kelvin Upshaw,Mavericks,Dallas,Guard,5,6.2,180,Undrafted,Undrafted,Undrafted,Utah,1/24/1963,1988,1990,5.4,2.1,1.2
Jarrod Uthoff,Wizards,Washington,Forward,7,6.9,220,Undrafted,Undrafted,Undrafted,Iowa,5/19/1993,2016,2019,2.7,0,0.9
Ben Uzoh,Nets,New Jersey,Guard,18,6.3,205,Undrafted,Undrafted,Undrafted,Tulsa,3/18/1988,2010,2011,4,2.2,2.1
Robert Vaden,Thunder,Oklahoma City,Guard-Forward,30,6.5,205,2009,2,54,,3/3/1985,2010,2010,,,
Jonas Valanciunas,Grizzlies,Memphis,Center,17,6.1,265,2011,1,5, ,5/6/1992,2012,Present,14.9,1.9,11.3
Darnell Valentine,Trail Blazers,Portland,Guard,1,6.2,183,1981,1,16,Kansas,2/3/1959,1981,1990,8.7,5,2.1
Denzel Valentine,Bulls,Chicago,Guard,45,6.4,220,2016,1,14,Michigan State,11/16/1993,2016,Present,6.8,1.2,2.1
Ron Valentine,Nuggets,Denver,Forward,42,6.7,210,1980,3,51,Old Dominion,11/27/1957,1980,1980,3.5,0.3,1.3
John Vallely,Hawks,Atlanta,Guard,33,6.3,185,1970,1,14,California-Los Angeles,10/3/1948,1970,1971,3.6,0.8,0.7
Dick Van Arsdale,Suns,Phoenix,Guard,5,6.5,210,1965,2,10,Indiana,2/22/1943,1965,1976,16.4,3.3,4.1
Tom Van Arsdale,Kings,Kansas City-Omaha,Forward,4,6.5,202,1965,2,11,Indiana,2/22/1943,1965,1976,15.3,2.2,4.2
Butch Van Breda Kolff,Knicks,New York,Guard-Forward,17,6.3,185,Undrafted,Undrafted,Undrafted,New York University,10/28/1922,1946,1949,4.7,1.5,
Jan Van Breda Kolff,Nets,New Jersey,Forward,22,6.7,195,1974,2,20,Vanderbilt,12/16/1951,1976,1982,6,1.9,4.1
Nick Van Exel,Lakers,Los Angeles,Guard,31,6.1,190,1993,2,37,Cincinnati,11/27/1971,1993,2005,14.4,6.6,2.9
Keith Van Horn,Nets,New Jersey,Forward,2,6.1,245,1997,1,2,Utah,10/23/1975,1997,2005,16,1.6,6.8
Norm Van Lier,Bulls,Chicago,Guard,4,6.1,173,1969,3,34,Saint Francis (PA),4/1/1947,1969,1978,11.8,7,4.8
Fred VanVleet,Raptors,Toronto,Guard,23,6.1,197,Undrafted,Undrafted,Undrafted,Wichita State,2/25/1994,2016,Present,17.6,6.6,3.8
Gene Vance,Stags,Chicago,Guard,11,6.3,195,1947,,,Illinois,2/25/1923,1947,1951,8.3,2.3,2.9
Log Vander Velden,Clippers,Los Angeles,Forward,25,6.8,215,Undrafted,Undrafted,Undrafted,Green Bay,4/3/1971,1995,1995,0.6,0.1,0.4
Jarred Vanderbilt,Timberwolves,Minnesota,Forward,3,6.9,214,2018,2,41,Kentucky,4/3/1999,2018,Present,1.1,0.2,0.8
Ernie Vandeweghe,Knicks,New York,Forward,18,6.3,195,1949,3,,Colgate,9/12/1928,1949,1955,9.5,2.4,4.7
Kiki Vandeweghe,Nuggets,Denver,Forward,55,6.8,220,1980,1,11,California-Los Angeles,8/1/1958,1980,1992,19.7,2.1,3.4
Nick Vanos,Suns,Phoenix,Center,30,7.1,255,1985,2,32,Santa Clara,4/13/1963,1985,1986,3.3,0.9,3.5
David Vanterpool,Wizards,Washington,Guard,22,6.5,200,Undrafted,Undrafted,Undrafted,St. Bonaventure,3/21/1973,2000,2000,5.5,3,1.7
Ratko Varda,Pistons,Detroit,Center,50,7.1,265,Undrafted,Undrafted,Undrafted,Yugoslavia,5/6/1979,2001,2002,5,0,1
Anderson Varejao,,,,,,,2004,2,30, ,9/28/1982,2004,2016,7.3,1.2,7.2
Jarvis Varnado,76ers,Philadelphia,Forward-Center,40,6.9,230,2010,2,41,Mississippi State,3/1/1988,2012,2013,2.9,0.4,1.9
Greivis Vasquez,,,,,,,2010,1,28,Maryland,1/16/1987,2010,2016,9,4.8,2.5
Charles Vaughn,Hawks,St. Louis,Guard,10,6.3,190,1962,4,26,Southern Illinois,2/19/1940,1962,1966,9,2.3,2.2
David Vaughn,,,,,,,1995,1,25,Memphis,3/23/1973,1995,1998,2.9,0.3,3.1
Jacque Vaughn,Jazz,Utah,Guard,11,6.1,190,1997,1,27,Kansas,2/11/1975,1997,2008,4.5,2.5,1.3
Rashad Vaughn,,,,,,,2015,1,17,Nevada-Las Vegas,8/16/1996,2015,2017,3,0.5,1.1
Virgil Vaughn,Celtics,Boston,Forward,17,6.4,205,Undrafted,Undrafted,Undrafted,Western Kentucky,5/15/1918,1946,1946,2.6,0.6,
Loy Vaught,Clippers,Los Angeles,Forward-Center,35,6.9,240,1990,1,13,Michigan,2/27/1968,1990,2000,10.1,0.9,7.1
Bob Verga,Trail Blazers,Portland,Guard,17,6.1,190,1967,3,25,Duke,9/7/1945,1973,1973,5,0.8,0.9
Peter Verhoeven,Trail Blazers,Portland,Forward,50,6.9,215,1981,4,85,Fresno State,2/15/1959,1981,1986,3.5,0.5,2.3
Jan Vesely,Wizards,Washington,Forward,24,7,242,2011,1,6,,4/24/1990,2011,2013,3.6,0.6,3.5
Gundars Vetra,Timberwolves,Minnesota,Forward,2,6.6,195,Undrafted,Undrafted,Undrafted,,5/22/1967,1992,1992,3.5,0.5,0.6
Joao Vianna,Mavericks,Dallas,Forward,31,6.9,215,Undrafted,Undrafted,Undrafted,,11/15/1966,1991,1991,2,2,0
Charlie Villanueva,Pistons,Detroit,Forward,3,6.1,232,2005,1,7,Connecticut,8/24/1984,2005,2015,10.4,0.8,4.6
Gabe Vincent,Heat,Miami,Guard,2,6.3,200,Undrafted,Undrafted,Undrafted,Cal-Santa Barbara,6/14/1996,2019,Present,2.4,0.7,0.6
Jay Vincent,Mavericks,Dallas,Forward,3,6.7,220,1981,2,24,Michigan State,6/10/1959,1981,1989,15.2,2,5.5
Sam Vincent,Magic,Orlando,Guard,11,6.2,185,1985,1,20,Michigan State,5/18/1963,1985,1991,7.8,3.9,2.1
Marcus Vinicius,,,,,,,2006,2,43,,5/31/1984,2006,2007,1.9,0.3,0.7
Fred Vinson,,,,,,,Undrafted,Undrafted,Undrafted,Georgia Tech,1/28/1971,1994,1999,1.3,0.1,0.1
Gary Voce,Cavaliers,Cleveland,Forward,54,6.9,240,Undrafted,Undrafted,Undrafted,Notre Dame,11/24/1965,1989,1989,2,0,2
Floyd Volker,Nuggets,Denver,Forward,,6.4,205,Undrafted,Undrafted,Undrafted,Wyoming,6/21/1921,1949,1949,7.4,2.1,
Alexander Volkov,Hawks,Atlanta,Center,8,6.1,218,1986,6,134,,3/29/1964,1989,1991,6.8,2.2,2.6
Whitey Von Nieda,Bullets,Baltimore,,,,,Undrafted,Undrafted,Undrafted,Penn State,6/19/1922,1949,1949,5.3,2.4,
Noah Vonleh,Nuggets,Denver,Forward,32,6.1,257,2014,1,9,Indiana,8/24/1995,2014,Present,3.7,0.8,3.4
Jake Voskuhl,Suns,Phoenix,Center,77,6.1,255,2000,2,33,Connecticut,11/1/1977,2000,2008,4,0.5,3.4
Danny Vranes,SuperSonics,Seattle,Forward,20,6.7,210,1981,1,5,Utah,10/29/1958,1981,1987,5.1,1.2,3.9
Slavko Vranes,,,,,,,2003,2,39,,1/30/1983,2003,2003,0,0,0
Stojko Vrankovic,,,,,,,Undrafted,Undrafted,Undrafted,Croatia,1/22/1964,1990,1998,2.8,0.3,3
Brett Vroman,Jazz,Utah,Center,52,7,220,1978,4,87,Nevada-Las Vegas,12/25/1955,1980,1980,3.1,0.8,2.3
Jackson Vroman,,,,,,,2004,2,31,Iowa State,6/6/1981,2004,2005,3.3,0.6,3
Nikola Vucevic,Magic,Orlando,Center,9,6.1,260,2011,1,16,USC,10/24/1990,2011,Present,19.6,3.6,10.9
Sasha Vujacic,Lakers,Los Angeles,Guard,18,6.7,195,2004,1,27,,3/8/1984,2004,2016,5.3,1.3,1.9
Dean Wade,Cavaliers,Cleveland,Forward-Center,32,6.9,228,Undrafted,Undrafted,Undrafted,Kansas State,11/20/1996,2019,Present,1.7,0.2,1.6
Dwyane Wade,Heat,Miami,Guard,3,6.4,220,2003,1,5,Marquette,1/17/1982,2003,2018,22,5.4,4.7
Mark Wade,Warriors,Golden State,Guard,10,5.11,160,Undrafted,Undrafted,Undrafted,Nevada-Las Vegas,10/15/1965,1987,1989,0.7,3,1.3
Von Wafer,Rockets,Houston,Guard,1,6.5,209,2005,2,39,Florida State,7/21/1985,2005,2011,5.3,0.7,1.2
Clint Wager,Pistons,Ft. Wayne Zollner,Center,17,6.5,210,Undrafted,Undrafted,Undrafted,Saint Mary's (MN),1/20/1920,1949,1949,2.3,1.4,
Dajuan Wagner,,,,,,,2002,1,6,Memphis,2/4/1983,2002,2006,9.4,1.9,1.4
Danny Wagner,Redskins,Sheboygan,Guard,,6,170,Undrafted,Undrafted,Undrafted,Texas,8/1/1922,1949,1949,6.3,1.6,
Milt Wagner,Lakers,Los Angeles,Guard,25,6.5,185,1986,2,35,Louisville,2/20/1963,1987,1990,4.1,1.4,0.7
Moritz Wagner,Wizards,Washington,Forward-Center,21,6.1,245,2018,1,25,Michigan,4/26/1997,2018,Present,8.7,1.2,4.9
Dion Waiters,Lakers,Los Angeles,Guard,18,6.3,210,2012,1,4,Syracuse,12/10/1991,2012,Present,11.1,2,2.4
Granville Waiters,Pacers,Indiana,Center,31,6.1,225,1983,2,39,Ohio State,1/8/1961,1983,1987,2.4,0.5,2.2
Andre Wakefield,Pistons,Detroit,Guard,15,6.2,175,1978,5,107,Loyola-Chicago,1/11/1955,1978,1979,2.3,0.9,1
Neal Walk,Suns,Phoenix,Center,41,6.1,220,1969,1,2,Florida,7/29/1948,1969,1976,12.6,2.1,7.7
Andy Walker,Jazz,New Orleans,Guard,41,6.4,190,1976,7,111,Niagara,3/25/1955,1976,1976,4.5,0.8,1.9
Antoine Walker,Celtics,Boston,Forward,24,6.9,245,1996,1,6,Kentucky,8/12/1976,1996,2007,17.5,3.5,7.7
Brady Walker,Bullets,Baltimore,Forward,,6.6,205,1948,,,Brigham Young,3/15/1921,1948,1951,7,1.4,5.4
Chet Walker,76ers,Philadelphia,Forward,25,6.7,212,1962,2,12,Bradley,2/22/1940,1962,1974,18.2,2.1,7.1
Darrell Walker,Bullets,Washington,Guard,20,6.4,180,1983,1,12,Arkansas,3/9/1961,1983,1992,8.9,4.6,4.4
Foots Walker,Cavaliers,Cleveland,Guard,1,6.1,172,1974,3,38,West Georgia,5/21/1951,1974,1983,6.4,4.7,2.6
Henry Walker,Knicks,New York,Forward,5,6.6,235,2008,2,47,Kansas State,10/9/1987,2008,2014,6,0.8,2.2
Horace Walker,Packers,Chicago,Forward,15,6.3,210,1960,4,30,Michigan State,4/17/1938,1961,1961,6.7,1.1,7.2
Jimmy Walker,Pistons,Detroit,Guard,24,6.3,195,1967,1,1,Providence,4/8/1944,1967,1975,16.7,3.5,2.7
Kemba Walker,Celtics,Boston,Guard,8,6,184,2011,1,9,Connecticut,5/8/1990,2011,Present,20.4,4.8,3.9
Kenny Walker,Knicks,New York,Forward,15,6.8,210,1986,1,5,Kentucky,8/18/1964,1986,1994,7,0.7,4
Phil Walker,Bullets,Washington,Guard,20,6.3,180,1977,2,39,Millersville,3/20/1956,1977,1977,4.5,1.4,1.3
Samaki Walker,,,,,,,1996,1,9,Louisville,2/25/1976,1996,2005,5.3,0.6,4.7
Wally Walker,SuperSonics,Seattle,Forward,42,6.8,190,1976,1,5,Virginia,7/18/1954,1976,1983,7,1.5,3.1
Lonnie Walker IV,Spurs,San Antonio,Guard-Forward,1,6.5,204,2018,1,18,Miami,12/14/1998,2018,Present,6.4,1.1,2.3
John Wall,Wizards,Washington,Guard,2,6.4,210,2010,1,1,Kentucky,9/6/1990,2010,Present,20.7,8.7,3.6
Ben Wallace,Pistons,Detroit,Forward-Center,6,6.9,240,Undrafted,Undrafted,Undrafted,Virginia Union,9/10/1974,1996,2011,5.7,1.3,9.6
Gerald Wallace,Bobcats,Charlotte,Forward,45,6.7,220,2001,1,25,Alabama,7/23/1982,2001,2014,11.9,2.1,5.8
John Wallace,Raptors,Toronto,Forward,22,6.9,225,1996,1,18,Syracuse,2/9/1974,1996,2003,7.6,0.7,2.8
Michael Wallace,Huskies,Toronto,Guard,,6.1,185,Undrafted,Undrafted,Undrafted,Scranton,7/12/1918,1946,1946,9.1,1,
Rasheed Wallace,,,,,,,1995,1,4,North Carolina,9/17/1974,1995,2012,14.4,1.8,6.7
Tyrone Wallace,,,,,,,2016,2,60,California,6/10/1994,2017,Present,2.9,0.9,1.6
Dwight Waller,Hawks,Atlanta,Forward,16-34,6.6,220,1968,10,131,Tennessee State,10/5/1945,1968,1968,0.6,0.1,0.9
Jamie Waller,Nets,New Jersey,Forward,15,6.4,215,1987,3,48,Virginia Union,11/20/1964,1987,1987,4.7,0.3,1.4
Jim Walsh,Warriors,Philadelphia,Forward,20,6.4,195,1952,,,Stanford,8/29/1931,1957,1957,2,0.8,1.5
Matt Walsh,,,,,,,Undrafted,Undrafted,Undrafted,Florida,12/2/1982,2005,2005,1,0,0
Rex Walters,,,,,,,1993,1,16,Kansas,3/12/1970,1993,1999,4.6,1.7,1.2
Paul Walther,Olympians,Indianapolis,Guard,5,6.2,160,1949,,,Tennessee,3/23/1927,1949,1954,7.7,2.6,3.7
Rabbit Walthour,Hawks,Milwaukee,Guard, ,5.11,163,Undrafted,Undrafted,Undrafted,,4/11/1905,1953,1953,0.5,0.5,0.3
Bill Walton,Trail Blazers,Portland,Center,32,6.1,210,1974,1,1,California-Los Angeles,11/5/1952,1974,1986,13.3,3.4,10.5
Lloyd Walton,Bucks,Milwaukee,Guard,11  12,6,160,1976,3,40,Marquette,11/23/1953,1976,1980,4.2,3.6,1.1
Luke Walton,Lakers,Los Angeles,Forward,4,6.8,235,2003,2,32,Arizona,3/28/1980,2003,2012,4.7,2.3,2.8
Derrick Walton Jr.,,,,,,,Undrafted,Undrafted,Undrafted,Michigan,4/3/1995,2017,Present,2,1,0.6
Brad Wanamaker,Celtics,Boston,Guard,9,6.3,210,Undrafted,Undrafted,Undrafted,Pittsburgh,7/25/1989,2018,Present,6.9,2.5,2
Bobby Wanzer,Royals,Rochester,Guard,9,6,170,1948,1,10,Seton Hall,6/4/1921,1948,1956,12.2,3.2,4.5
Perry Warbington,76ers,Philadelphia,Guard,22,6.2,165,1974,9,145,Georgia Southern,9/7/1952,1974,1974,2,3.2,1.6
Charlie Ward,,,,,,,1994,1,26,Florida State,10/12/1970,1994,2004,6.3,4,2.6
Gerry Ward,Bulls,Chicago,Guard,6,6.4,195,1963,1,5,Boston College,9/6/1941,1963,1966,3.2,1.4,1.7
Henry Ward,Spurs,San Antonio,Guard,15,6.4,195,1975,6,99,Jackson State,1/30/1952,1976,1976,3.1,0.2,1.2
Casper Ware,,,,,,,Undrafted,Undrafted,Undrafted,Long Beach State,1/17/1990,2013,2017,5.3,1.1,1
Jim Ware,Royals,Cincinnati,Forward,27,6.7,210,1966,3,26,Oklahoma City,5/2/1944,1966,1967,2.3,0.2,2.3
Ben Warley,76ers,Philadelphia,Forward,33,6.5,200,1961,1,6,Tennessee State,9/4/1936,1962,1966,6.1,0.7,5.3
Bob Warlick,Warriors,San Francisco,Guard,23,6.5,200,Undrafted,Undrafted,Undrafted,Pepperdine,3/20/1941,1965,1968,7.5,2,2.9
Cornell Warner,Bucks,Milwaukee,Forward,20-30,6.9,220,1970,2,24,Jackson State,8/12/1948,1970,1976,6.4,1.1,7.5
Jameel Warney,,,,,,,Undrafted,Undrafted,Undrafted,"Stony Brook, N.Y.",1/31/1994,2017,2017,5.7,0,3
Johnny Warren,Cavaliers,Cleveland,Guard,,6.3,180,1969,1,11,St. John's (NY),7/7/1947,1969,1973,6,1.9,2.3
T.J. Warren,Pacers,Indiana,Forward,1,6.8,220,2014,1,14,North Carolina State,9/5/1993,2014,Present,19.8,1.5,4.2
Willie Warren,Clippers,Los Angeles,Guard,13,6.4,203,2010,2,54,Oklahoma,10/22/1989,2010,2010,1.9,1.4,0.6
Bryan Warrick,Bullets,Washington,Guard,12,6.5,195,1982,2,25,Saint Joseph's,7/22/1959,1982,1985,4,2.6,1.3
Hakim Warrick,,,,,,,2005,1,19,Syracuse,7/8/1982,2005,2012,9.4,0.8,4
Chris Washburn,Warriors,Golden State,Center,50,6.1,225,1986,1,3,North Carolina State,5/13/1965,1986,1987,3.1,0.3,2.4
Julian Washburn,Grizzlies,Memphis,Forward-Guard,4,6.8,209,Undrafted,Undrafted,Undrafted,Texas-El Paso,12/18/1991,2018,2018,2.2,0.8,2.3
Bobby Washington,Cavaliers,Cleveland,Guard,17,5.11,175,Undrafted,Undrafted,Undrafted,Eastern Kentucky,7/11/1947,1970,1971,6,3.6,2
Darius Washington,,,,,,,Undrafted,Undrafted,Undrafted,Memphis,12/6/1985,2007,2007,2.9,0.8,1.1
Duane Washington,Nets,New Jersey,Guard,10,6.4,195,1987,2,36,Middle Tennessee State,8/31/1964,1987,1992,2.8,2.1,1.3
Dwayne Washington,Nets,New Jersey,Guard,31,6.2,190,1986,1,13,Syracuse,1/6/1964,1986,1988,8.6,3.8,1.9
Eric Washington,Nuggets,Denver,Forward-Guard,14,6.4,190,1997,2,46,Alabama,3/24/1974,1997,1998,6.9,1,2.1
Jim Washington,Hawks,Atlanta,Forward,12,6.7,210,1965,1,6,Villanova,7/1/1943,1965,1975,10.6,1.4,8.6
Kermit Washington,Lakers,Los Angeles,Forward,3,6.8,230,1973,1,5,American,9/17/1951,1973,1987,9.2,1.4,8.3
P.J. Washington,Hornets,Charlotte,Forward,25,6.7,230,2019,1,12,Kentucky,8/23/1998,2019,Present,12.2,2.1,5.4
Richard Washington,Kings,Kansas City,Forward,31,6.1,220,1976,1,3,California-Los Angeles,7/15/1955,1976,1981,9.8,1.2,6.3
Stan Washington,Bullets,Washington,Guard,20,6.4,190,1974,4,66,San Diego,1/23/1952,1974,1974,0,0,0
Wilson Washington,Nets,New Jersey,Forward,42,6.9,227,1977,2,25,Old Dominion,8/3/1955,1977,1978,7.3,0.6,4.5
Yuta Watanabe,Grizzlies,Memphis,Guard-Forward,18,6.8,215,Undrafted,Undrafted,Undrafted,George Washington,10/13/1994,2018,Present,2,0.3,1.1
Tremont Waters,Celtics,Boston,Guard,51,5.1,175,2019,2,51,Louisiana State,1/10/1998,2019,Present,3.6,1.5,1.1
Darryl Watkins,Kings,Sacramento,Center,31,6.1,258,Undrafted,Undrafted,Undrafted,Syracuse,11/8/1984,2007,2011,2.5,0.2,2.8
C.J. Watson,Warriors,Golden State,Guard,32,6.2,175,Undrafted,Undrafted,Undrafted,Tennessee,4/17/1984,2007,2016,7.2,2.5,1.9
Earl Watson,Thunder,Oklahoma City,Guard,17,6.1,199,2001,2,39,California-Los Angeles,6/12/1979,2001,2013,6.4,4.4,2.3
Jamie Watson,,,,,,,1994,2,47,South Carolina,2/23/1972,1994,1998,3.2,1.1,1.5
Paul Watson,Raptors,Toronto,Guard,1,6.6,210,Undrafted,Undrafted,Undrafted,Fresno State,12/30/1994,2019,Present,3.1,0.8,1.7
Ron Watts,Celtics,Boston,Forward,12,6.6,210,1965,2,17,Wake Forest,5/21/1943,1965,1966,1.4,0.1,1.4
Slick Watts,SuperSonics,Seattle,Guard,0,6.1,175,Undrafted,Undrafted,Undrafted,Xavier (LA),7/22/1951,1973,1978,8.9,6.1,3.2
Maalik Wayns,,,,,,,Undrafted,Undrafted,Undrafted,Villanova,5/2/1991,2012,2013,2.7,1,0.3
David Wear,,,,,,,Undrafted,Undrafted,Undrafted,UCLA,9/21/1990,2014,2014,0,0.5,1
Travis Wear,Knicks,New York,Forward,21,6.1,225,Undrafted,Undrafted,Undrafted,UCLA,9/21/1990,2014,2017,4,0.7,2.1
Clar. Weatherspoon,76ers,Philadelphia,Forward,30,6.7,270,1992,1,9,Southern Mississippi,9/8/1970,1992,2004,11.5,1.5,7.5
Nick Weatherspoon,Bullets,Washington,Forward,12,6.7,195,1973,1,13,Illinois,7/20/1950,1973,1979,9,0.9,4.9
Quinndary Weatherspoon,Spurs,San Antonio,Guard,15,6.3,205,2019,2,49,Mississippi State,9/10/1996,2019,Present,1.1,1,0.6
Kyle Weaver,,,,,,,2008,2,38,Washington State,2/18/1986,2008,2010,5,1.6,2.2
Jeff Webb,Bucks,Milwaukee,Guard,10,6.4,170,Undrafted,Undrafted,Undrafted,Kansas State,7/6/1948,1970,1971,2.1,0.6,0.8
Marcus Webb,Celtics,Boston,Forward,41,6.9,255,Undrafted,Undrafted,Undrafted,Alabama,5/9/1970,1992,1992,4.3,0.2,1.1
